Date,Price,Open,High,Low,Vol.,Change %
02/28/2023,"80,500.00","80,000.00","80,700.00","79,500.00",524.30K,0.25%
02/27/2023,"80,300.00","80,000.00","80,500.00","79,900.00",1.02M,-0.62%
02/24/2023,"80,800.00","81,100.00","81,300.00","80,400.00",559.20K,-0.74%
02/23/2023,"81,400.00","81,700.00","81,700.00","80,600.00",1.16M,-0.49%
02/22/2023,"81,800.00","82,300.00","82,500.00","81,800.00",747.20K,-1.21%
02/21/2023,"82,800.00","82,800.00","83,700.00","82,600.00",840.00K,0.00%
02/20/2023,"82,800.00","81,600.00","83,000.00","81,400.00",1.28M,1.47%
02/17/2023,"81,600.00","81,200.00","81,600.00","81,000.00",467.60K,0.00%
02/16/2023,"81,600.00","81,600.00","82,000.00","80,700.00",424.20K,0.00%
02/15/2023,"81,600.00","80,500.00","81,900.00","80,300.00",645.20K,0.99%
02/14/2023,"80,800.00","80,700.00","81,000.00","80,200.00",619.70K,0.12%
02/13/2023,"80,700.00","80,700.00","81,200.00","80,000.00",613.20K,0.00%
02/10/2023,"80,700.00","81,100.00","81,200.00","80,500.00",725.00K,0.00%
02/09/2023,"80,700.00","81,000.00","81,600.00","80,700.00",743.00K,-0.62%
02/08/2023,"81,200.00","80,800.00","81,700.00","80,600.00",669.70K,0.62%
02/07/2023,"80,700.00","80,500.00","81,900.00","80,500.00",750.80K,0.25%
02/06/2023,"80,500.00","80,000.00","81,600.00","79,700.00",944.40K,0.50%
02/03/2023,"80,100.00","82,000.00","82,000.00","80,100.00",1.73M,-2.20%
02/02/2023,"81,900.00","82,100.00","82,400.00","81,300.00",1.33M,-0.12%
02/01/2023,"82,000.00","84,000.00","84,000.00","81,800.00",1.05M,-1.80%
01/31/2023,"83,500.00","83,500.00","83,700.00","81,700.00",1.53M,-0.24%
01/30/2023,"83,700.00","84,200.00","84,400.00","83,700.00",891.00K,-0.36%
01/27/2023,"84,000.00","84,100.00","85,500.00","84,000.00",1.14M,0.12%
01/19/2023,"83,900.00","83,000.00","84,200.00","82,900.00",1.33M,0.60%
01/18/2023,"83,400.00","82,100.00","83,400.00","81,800.00",954.60K,1.71%
01/17/2023,"82,000.00","81,200.00","82,000.00","81,000.00",978.20K,1.49%
01/16/2023,"80,800.00","80,100.00","81,000.00","79,700.00",574.50K,1.00%
01/13/2023,"80,000.00","80,500.00","81,200.00","80,000.00",628.30K,-0.87%
01/12/2023,"80,700.00","81,000.00","81,500.00","80,200.00",542.50K,-0.25%
01/11/2023,"80,900.00","80,400.00","81,600.00","80,400.00",1.08M,0.62%
01/10/2023,"80,400.00","80,700.00","81,300.00","80,200.00",752.70K,0.12%
01/09/2023,"80,300.00","80,500.00","80,900.00","79,900.00",518.90K,0.00%
01/06/2023,"80,300.00","80,400.00","81,100.00","80,200.00",719.40K,-0.37%
01/05/2023,"80,600.00","80,200.00","81,500.00","80,200.00",1.01M,0.75%
01/04/2023,"80,000.00","80,800.00","81,000.00","79,300.00",794.30K,0.00%
01/03/2023,"80,000.00","76,900.00","80,000.00","76,800.00",1.54M,4.03%
12/30/2022,"76,900.00","76,200.00","76,900.00","76,000.00",628.60K,0.92%
12/29/2022,"76,200.00","76,500.00","77,000.00","76,200.00",655.30K,-0.65%
12/28/2022,"76,700.00","77,000.00","77,000.00","76,000.00",589.20K,0.26%
12/27/2022,"76,500.00","76,400.00","77,500.00","76,000.00",805.20K,0.13%
12/26/2022,"76,400.00","77,700.00","78,100.00","76,400.00",832.50K,-2.05%
12/23/2022,"78,000.00","76,400.00","78,000.00","76,200.00",1.22M,1.04%
12/22/2022,"77,200.00","77,200.00","77,500.00","76,000.00",657.80K,0.00%
12/21/2022,"77,200.00","77,200.00","77,400.00","75,700.00",544.10K,0.78%
12/20/2022,"76,600.00","77,200.00","77,200.00","75,400.00",785.80K,0.00%
12/19/2022,"76,600.00","78,300.00","78,300.00","76,600.00",1.03M,-1.67%
12/16/2022,"77,900.00","77,000.00","78,000.00","76,400.00",910.90K,0.26%
12/15/2022,"77,700.00","76,400.00","78,100.00","76,400.00",1.17M,1.83%
12/14/2022,"76,300.00","77,200.00","77,500.00","76,100.00",1.16M,-1.17%
12/13/2022,"77,200.00","76,200.00","77,300.00","75,200.00",899.70K,0.26%
12/12/2022,"77,000.00","77,600.00","78,200.00","76,400.00",1.21M,-1.28%
12/09/2022,"78,000.00","76,300.00","78,000.00","76,200.00",987.50K,1.30%
12/08/2022,"77,000.00","76,900.00","78,800.00","75,600.00",1.27M,0.65%
12/07/2022,"76,500.00","75,900.00","76,600.00","74,800.00",1.03M,0.66%
12/06/2022,"76,000.00","78,300.00","78,900.00","76,000.00",1.54M,-2.94%
12/05/2022,"78,300.00","78,000.00","79,000.00","77,400.00",1.22M,1.16%
12/02/2022,"77,400.00","74,700.00","77,700.00","74,000.00",2.90M,3.61%
12/01/2022,"74,700.00","75,100.00","75,800.00","74,100.00",1.78M,0.13%
11/30/2022,"74,600.00","74,500.00","74,900.00","73,500.00",911.50K,0.40%
11/29/2022,"74,300.00","74,900.00","74,900.00","73,000.00",1.14M,0.00%
11/28/2022,"74,300.00","72,400.00","74,500.00","72,300.00",1.15M,3.19%
11/25/2022,"72,000.00","70,600.00","72,000.00","70,500.00",1.27M,2.13%
11/24/2022,"70,500.00","69,800.00","71,000.00","69,400.00",788.40K,0.00%
11/23/2022,"70,500.00","70,000.00","71,000.00","69,700.00",465.90K,0.00%
11/22/2022,"70,500.00","70,000.00","72,000.00","69,100.00",1.18M,0.57%
11/21/2022,"70,100.00","69,500.00","71,800.00","69,500.00",840.50K,-1.96%
11/18/2022,"71,500.00","70,100.00","72,000.00","69,200.00",1.26M,0.70%
11/17/2022,"71,000.00","69,300.00","72,000.00","64,500.00",1.55M,2.45%
11/16/2022,"69,300.00","61,300.00","70,000.00","61,300.00",3.05M,5.16%
11/15/2022,"65,900.00","70,000.00","70,000.00","65,900.00",3.11M,-6.92%
11/14/2022,"70,800.00","72,000.00","72,400.00","70,000.00",1.64M,-2.75%
11/11/2022,"72,800.00","73,100.00","73,600.00","72,000.00",1.00M,-0.27%
11/10/2022,"73,000.00","73,500.00","73,700.00","69,100.00",1.60M,-1.35%
11/09/2022,"74,000.00","73,300.00","74,300.00","73,300.00",697.70K,0.95%
11/08/2022,"73,300.00","71,500.00","73,900.00","71,400.00",945.00K,0.96%
11/07/2022,"72,600.00","72,600.00","74,000.00","72,600.00",1.57M,-0.41%
11/04/2022,"72,900.00","74,000.00","74,000.00","71,500.00",1.65M,-1.62%
11/03/2022,"74,100.00","74,500.00","75,700.00","73,700.00",622.40K,0.14%
11/02/2022,"74,000.00","75,200.00","76,000.00","74,000.00",978.20K,-1.99%
11/01/2022,"75,500.00","76,300.00","76,800.00","75,000.00",561.50K,-0.13%
10/31/2022,"75,600.00","75,000.00","76,000.00","73,700.00",1.08M,0.80%
10/28/2022,"75,000.00","76,300.00","76,300.00","74,700.00",875.80K,-1.06%
10/27/2022,"75,800.00","74,100.00","76,200.00","73,700.00",935.90K,2.71%
10/26/2022,"73,800.00","74,500.00","74,500.00","72,700.00",625.10K,0.82%
10/25/2022,"73,200.00","71,400.00","74,500.00","71,100.00",1.56M,2.95%
10/24/2022,"71,100.00","73,900.00","74,500.00","71,000.00",1.43M,-3.79%
10/21/2022,"73,900.00","77,700.00","77,700.00","73,900.00",1.56M,-5.01%
10/20/2022,"77,800.00","75,800.00","78,500.00","75,300.00",1.73M,3.05%
10/19/2022,"75,500.00","74,900.00","76,200.00","74,700.00",1.02M,0.80%
10/18/2022,"74,900.00","74,000.00","75,300.00","74,000.00",879.00K,1.49%
10/17/2022,"73,800.00","73,500.00","73,900.00","72,600.00",707.40K,-0.27%
10/14/2022,"74,000.00","74,400.00","74,500.00","73,600.00",844.20K,1.37%
10/13/2022,"73,000.00","72,200.00","73,000.00","71,500.00",829.20K,0.83%
10/12/2022,"72,400.00","71,000.00","73,300.00","71,000.00",1.46M,1.97%
10/11/2022,"71,000.00","74,000.00","74,000.00","71,000.00",1.59M,-4.05%
10/10/2022,"74,000.00","73,500.00","75,500.00","72,100.00",1.63M,0.00%
10/07/2022,"74,000.00","76,200.00","76,200.00","74,000.00",2.06M,-3.27%
10/06/2022,"76,500.00","78,900.00","78,900.00","76,500.00",1.27M,-2.42%
10/05/2022,"78,400.00","79,000.00","79,500.00","78,400.00",971.90K,1.16%
10/04/2022,"77,500.00","78,000.00","79,000.00","77,200.00",2.04M,0.65%
10/03/2022,"77,000.00","79,600.00","80,300.00","76,400.00",1.25M,-4.35%
09/30/2022,"80,500.00","77,000.00","80,800.00","76,900.00",2.11M,4.55%
09/29/2022,"77,000.00","79,800.00","80,100.00","77,000.00",1.30M,-1.28%
09/28/2022,"78,000.00","80,100.00","80,400.00","78,000.00",2.05M,-3.11%
09/27/2022,"80,500.00","82,000.00","82,000.00","80,500.00",932.90K,-1.23%
09/26/2022,"81,500.00","81,500.00","82,000.00","80,300.00",1.86M,-1.09%
09/23/2022,"82,400.00","83,100.00","83,100.00","82,100.00",840.60K,-0.60%
09/22/2022,"82,900.00","82,000.00","83,000.00","81,900.00",1.17M,0.73%
09/21/2022,"82,300.00","83,300.00","83,300.00","82,300.00",775.40K,-1.32%
09/20/2022,"83,400.00","83,100.00","83,800.00","82,300.00",575.00K,0.36%
09/19/2022,"83,100.00","82,500.00","83,600.00","81,900.00",1.78M,0.73%
09/16/2022,"82,500.00","83,700.00","83,900.00","82,500.00",1.36M,-1.43%
09/15/2022,"83,700.00","84,500.00","84,500.00","83,700.00",780.50K,-0.36%
09/14/2022,"84,000.00","83,500.00","84,500.00","83,500.00",1.31M,-0.71%
09/13/2022,"84,600.00","85,000.00","85,300.00","84,300.00",1.05M,0.00%
09/12/2022,"84,600.00","85,100.00","85,200.00","84,300.00",716.00K,0.36%
09/09/2022,"84,300.00","84,600.00","85,000.00","84,300.00",1.15M,0.00%
09/08/2022,"84,300.00","84,100.00","85,000.00","83,800.00",1.14M,0.36%
09/07/2022,"84,000.00","85,500.00","85,900.00","84,000.00",2.24M,-2.10%
